Timestamp,Object ID,Classification,Tracking Counter,Confidence
2022-06-28 13:07:30.761301,29,car,14,0.683353
2022-06-28 13:07:30.764302,29,car,14,0.64870816
2022-06-28 13:07:30.767270,30,person,15,0.63812435
2022-06-28 13:07:30.770281,31,person,16,0.63145846
2022-06-28 13:07:30.775270,31,motorbike,1,0.60452133
2022-06-28 13:07:30.860977,32,car,15,0.7031687
2022-06-28 13:07:30.864986,32,car,15,0.6827371
2022-06-28 13:07:30.867994,32,car,15,0.6684416
2022-06-28 13:07:30.871976,32,car,15,0.63813186
2022-06-28 13:07:30.875996,32,car,15,0.62682945
2022-06-28 13:07:30.881845,32,person,16,0.624254
2022-06-28 13:07:30.992293,32,car,15,0.6673972
2022-06-28 13:07:30.995297,32,person,16,0.6605012
2022-06-28 13:07:30.998963,33,person,17,0.61197114
2022-06-28 13:07:31.001967,33,car,15,0.61106044
2022-06-28 13:07:31.004967,33,car,15,0.60246444
2022-06-28 13:07:31.104212,33,car,15,0.65729314
2022-06-28 13:07:31.107216,33,person,17,0.6479937
2022-06-28 13:07:31.110235,33,person,17,0.6425379
2022-06-28 13:07:31.113238,34,person,18,0.63991386
2022-06-28 13:07:31.117223,34,car,15,0.6129649
2022-06-28 13:07:31.210000,34,car,15,0.65648997
2022-06-28 13:07:31.213994,34,person,18,0.6484944
2022-06-28 13:07:31.215996,35,person,19,0.6423361
2022-06-28 13:07:31.219016,35,person,19,0.63910556
2022-06-28 13:07:31.222004,35,car,15,0.6131871
2022-06-28 13:07:31.312062,36,person,20,0.65135044
2022-06-28 13:07:31.315054,37,person,21,0.64386314
2022-06-28 13:07:31.318157,37,person,21,0.6395254
2022-06-28 13:07:31.321139,37,car,15,0.6343182
2022-06-28 13:07:31.324144,37,car,15,0.62690336
2022-06-28 13:07:31.437337,37,person,21,0.65161705
2022-06-28 13:07:31.440357,37,person,21,0.65019935
2022-06-28 13:07:31.444358,37,car,15,0.6482299
2022-06-28 13:07:31.448217,37,car,15,0.6392562
2022-06-28 13:07:31.451239,38,person,22,0.6107031
2022-06-28 13:07:31.561705,38,person,22,0.65247273
2022-06-28 13:07:31.564704,39,person,23,0.6508057
2022-06-28 13:07:31.567384,39,car,15,0.6462782
2022-06-28 13:07:31.569381,39,car,15,0.6404699
2022-06-28 13:07:31.572382,40,person,24,0.6018553
2022-06-28 13:07:31.664272,40,person,24,0.67285085
2022-06-28 13:07:31.666955,40,car,15,0.6708638
2022-06-28 13:07:31.670944,41,person,25,0.6571709
2022-06-28 13:07:31.673947,42,person,26,0.64159805
2022-06-28 13:07:31.677945,42,motorbike,1,0.6285575
2022-06-28 13:07:31.681964,43,car,16,0.6208534
2022-06-28 13:07:31.687005,43,car,16,0.6137303
2022-06-28 13:07:31.691240,43,person,26,0.6120193
2022-06-28 13:07:31.796952,43,motorbike,1,0.6992249
2022-06-28 13:07:31.801955,44,person,27,0.6724901
2022-06-28 13:07:31.805953,45,person,28,0.63246155
2022-06-28 13:07:31.809696,45,car,16,0.63228106
2022-06-28 13:07:31.814695,46,person,29,0.6277794
2022-06-28 13:07:31.819697,46,car,16,0.6212815
2022-06-28 13:07:31.824678,46,car,16,0.6146877
2022-06-28 13:07:31.829680,46,person,29,0.6146192
2022-06-28 13:07:31.834681,46,car,16,0.60411876
2022-06-28 13:07:31.935210,46,person,29,0.67523575
2022-06-28 13:07:31.938203,46,car,16,0.66225404
2022-06-28 13:07:31.941213,46,motorbike,1,0.6410101
2022-06-28 13:07:31.944203,46,person,29,0.63250244
2022-06-28 13:07:31.947428,46,person,29,0.62518233
2022-06-28 13:07:31.951411,46,car,16,0.61071736
2022-06-28 13:07:31.955431,47,person,30,0.6022648
2022-06-28 13:07:32.042680,47,person,30,0.6752641
2022-06-28 13:07:32.045681,47,car,16,0.66395277
2022-06-28 13:07:32.049686,47,motorbike,1,0.64885515
2022-06-28 13:07:32.052690,47,person,30,0.6345434
2022-06-28 13:07:32.055688,47,person,30,0.6249575
2022-06-28 13:07:32.059695,47,car,16,0.6118827
2022-06-28 13:07:32.155349,47,car,16,0.66407233
2022-06-28 13:07:32.158746,47,person,30,0.6557292
2022-06-28 13:07:32.161750,48,person,31,0.6456324
2022-06-28 13:07:32.166333,48,person,31,0.6415836
